pizza,egg-tomato,bean,Fish in oil,coca_cola,humberger,franch_frise,dessert,family_portrait_package,dumplings,business volume
453,996,601,29,760,915,745,698,8,27,40455
432,814,504,148,789,999,1089,865,54,7,50051
218,888,384,100,612,864,953,567,79,12,40996
329,518,534,142,626,825,783,673,43,13,40091
206,932,658,63,679,839,736,592,13,22,36309
498,569,641,93,540,562,489,647,35,12,36748
105,851,272,112,472,586,554,393,14,30,29237
280,626,483,111,696,844,796,674,78,17,41147
322,726,532,55,701,838,931,567,38,16,37666
385,527,459,23,800,937,869,660,46,21,37371
203,509,327,104,517,604,646,478,24,7,29462
453,666,240,136,599,535,558,699,98,22,41645
251,946,430,54,497,518,450,436,59,20,32092
214,669,372,76,531,586,687,433,91,14,33673
374,988,416,57,670,838,807,608,23,13,38668
372,533,360,88,583,743,806,666,1,14,34514
406,970,666,99,668,726,797,640,6,16,40715
473,417,525,33,662,661,598,668,69,14,35830
272,915,519,144,726,891,958,676,32,26,44008
144,443,268,79,573,826,738,474,6,11,27935
252,418,475,50,784,986,1005,670,39,18,36517
348,868,656,42,486,601,653,491,64,16,36003
193,882,686,40,488,701,796,471,3,11,31531
166,610,383,122,579,781,763,523,24,13,33556
300,790,320,100,611,817,693,694,50,16,38934
201,875,418,133,361,479,388,493,3,12,30306
244,842,472,41,667,913,1002,565,2,26,35525
379,689,351,87,787,991,990,736,13,9,40480
444,734,381,85,664,719,657,669,8,30,37253
250,563,667,28,706,872,827,535,54,7,34718
269,651,682,139,536,605,645,620,23,26,36909
164,916,298,145,678,916,947,670,27,20,40777
387,894,559,82,640,697,662,624,45,19,39614
177,472,283,72,393,514,498,409,95,6,28625
217,691,382,144,583,731,738,658,58,21,39020
342,405,300,128,626,686,587,663,68,14,36812
208,682,513,107,748,960,940,690,93,24,43550
255,568,659,21,664,946,802,566,52,12,35059
110,862,458,147,291,435,344,393,82,10,32409
117,943,458,68,349,437,477,386,30,30,28087
401,779,632,123,541,487,543,614,4,28,36416
119,977,640,103,575,755,861,453,74,17,38927
240,528,687,91,403,537,504,481,70,30,33086
206,550,332,78,414,520,566,482,9,8,26512
205,703,672,72,649,936,775,597,85,23,40015
222,671,264,104,445,582,564,554,83,29,34686
458,722,549,69,624,756,820,649,96,19,43189
492,788,273,127,655,633,749,714,68,30,43608
221,873,597,55,601,781,874,509,15,8,34465
402,662,500,148,611,762,706,769,74,6,44045
246,449,476,142,405,483,492,467,14,18,29604
419,836,564,61,690,736,859,639,50,8,40436
236,593,581,52,587,710,722,510,5,17,30475
254,866,688,22,417,504,442,458,59,20,31181
377,843,285,59,541,653,601,608,94,23,38478
150,433,373,65,395,458,481,331,57,7,24600
124,447,283,32,437,651,717,438,10,11,23740
424,979,663,128,607,734,723,688,48,15,44663
219,795,522,147,435,459,456,522,22,13,32997
317,476,381,124,747,903,970,714,17,26,39310
470,864,469,28,514,549,436,509,58,22,34660
443,506,494,144,769,949,904,810,6,12,42813
257,985,264,90,525,661,724,528,59,8,36585
373,940,431,124,618,645,583,590,72,11,41112
116,942,316,77,586,838,741,482,91,30,37359
344,640,460,132,568,746,605,674,44,20,38948
213,751,269,129,561,793,719,637,77,12,39085
461,430,340,98,557,647,551,727,59,20,37243
302,437,589,32,512,598,706,527,30,5,29524
464,697,222,54,823,988,957,770,43,11,41716
433,790,413,33,598,625,628,538,14,13,32871
420,427,229,53,705,912,822,718,83,10,38961
342,1000,694,48,661,804,706,578,6,23,37402
375,861,286,46,651,766,711,582,25,27,35647
465,744,572,85,769,988,929,738,51,25,45472
408,656,556,142,530,445,491,545,20,28,35611
371,940,352,56,758,914,873,693,37,9,40612
155,999,499,71,633,908,998,520,24,28,37654
381,959,657,125,473,513,497,551,42,12,38583
445,887,390,81,760,866,747,709,21,21,41107
237,562,409,144,477,529,555,479,82,26,35340
248,858,214,112,603,845,944,665,83,10,41836
205,842,358,28,391,477,474,375,45,20,27157
408,996,618,35,591,604,730,606,98,22,41516
411,578,311,60,628,650,670,614,57,10,35234
246,622,459,125,472,499,606,454,83,11,34804
432,793,260,37,778,939,953,669,62,23,41367
437,752,434,127,799,879,924,738,57,30,46106
158,647,539,69,454,587,708,398,24,5,28582
280,945,383,33,568,702,808,571,49,26,35932
300,497,238,98,476,603,590,602,6,30,30503
119,707,340,110,532,696,550,461,89,6,33805
348,958,339,133,480,448,327,502,17,16,33572
351,400,288,41,714,861,911,667,90,22,37913
306,656,664,133,633,866,936,705,19,17,41365
300,416,469,85,602,778,642,564,4,13,31351
283,711,201,75,604,664,522,500,77,14,33777
237,728,670,79,450,446,372,421,53,23,30939
337,430,395,131,636,740,769,680,17,27,36636
210,874,467,138,660,893,821,700,22,20,40700
281,482,364,62,739,955,840,705,44,14,36631
104,724,520,52,515,661,696,406,40,16,29484
148,587,502,139,503,639,754,555,26,10,33535
373,434,284,115,587,696,684,610,40,19,35370
451,588,246,64,630,608,577,573,59,27,35122
184,834,252,29,460,591,730,374,12,8,26562
276,662,287,57,666,916,938,653,9,24,35222
121,508,545,136,487,619,507,453,19,25,29917
349,644,406,144,537,686,663,657,19,21,37569
294,792,513,42,709,903,809,610,34,24,37271
101,886,487,78,445,625,688,481,18,11,30559
225,470,341,25,405,495,410,420,99,17,27540
363,850,486,50,433,505,503,562,60,17,34370
274,908,326,110,659,761,636,574,31,20,37192
403,946,327,75,539,516,625,561,59,20,37214
413,660,443,47,494,444,561,565,38,20,32195
418,667,601,75,748,922,1005,742,11,8,41004
397,725,579,87,755,994,901,817,100,5,47309
461,758,527,58,584,591,580,627,28,11,35806
256,765,440,149,785,972,973,686,41,7,43303
490,736,513,39,468,439,386,515,82,14,34663
468,613,432,33,464,466,432,561,31,10,30513
437,540,651,34,481,544,653,519,45,26,33383
366,648,390,66,705,907,821,661,2,11,36029
100,887,201,117,530,665,724,434,13,16,31013
297,459,412,143,503,643,724,609,46,28,36546
111,894,574,114,657,979,1072,603,78,17,43120
389,409,653,106,594,576,522,572,28,14,33838
412,628,230,92,554,647,696,666,46,18,36711
393,727,467,143,593,717,734,638,53,17,41630
464,516,247,121,483,512,524,676,83,17,38012
484,435,591,40,522,435,546,581,87,18,34760
147,452,248,20,672,956,908,569,15,5,28822
212,777,300,34,437,468,442,444,42,19,27092
319,971,400,34,638,819,869,621,67,6,39214
336,450,675,64,553,584,560,500,26,7,30713
161,974,393,113,712,944,891,677,91,17,43888
371,582,292,42,739,848,700,665,74,21,37475
358,488,614,34,624,738,650,634,76,21,36169
197,790,475,116,468,650,637,588,50,29,36267
339,672,371,41,621,785,746,541,89,22,37205
104,930,437,22,605,861,903,427,93,17,35592
156,791,393,103,333,442,563,448,47,13,30322
368,898,377,67,419,461,335,514,58,25,33327
188,430,464,69,641,850,838,607,80,13,35673
356,926,479,31,662,795,879,661,18,21,37626
499,739,300,110,526,552,536,703,19,14,37043
100,576,601,112,511,785,747,511,3,22,31585
236,724,264,35,743,944,851,563,64,29,36353
265,897,569,21,441,588,621,435,3,6,28804
333,666,362,101,607,633,766,560,54,19,36809
291,735,359,71,715,930,839,632,83,11,40377
481,511,537,48,498,454,539,526,11,11,30271
378,945,597,59,488,467,356,456,21,24,32213
142,665,519,77,464,697,596,458,56,19,31736
441,846,475,62,583,611,669,632,14,6,35894
337,445,664,77,598,735,841,560,32,22,35479
335,683,448,71,474,530,413,460,41,13,30889
403,985,656,88,793,919,968,731,92,24,49127
342,413,555,85,595,681,709,594,7,20,32766
454,987,560,68,765,924,951,786,0,11,43214
290,806,232,61,592,655,682,532,44,19,33579
408,774,339,117,824,971,919,813,6,20,43113
102,768,282,69,692,952,839,496,40,17,33736
237,860,334,106,676,923,1014,698,70,12,42836
166,420,621,36,720,924,890,530,88,13,35324
112,903,554,142,408,527,405,412,2,30,30513
365,495,354,37,567,673,549,589,17,18,29974
227,536,502,49,659,979,871,638,16,22,34410
401,486,472,59,675,752,788,689,42,26,37015
277,500,400,53,635,874,741,630,24,5,32846
322,417,634,92,452,495,600,528,67,8,33295
147,548,352,83,566,698,744,495,88,19,33737
266,710,508,148,481,590,680,548,79,7,38788
125,729,501,135,450,581,655,532,10,27,32317
329,412,654,34,429,441,361,423,5,19,24642
464,426,561,137,671,701,593,754,86,28,43156
290,712,415,124,447,454,592,470,12,17,31661
229,796,474,120,655,838,683,603,23,23,37533
440,810,263,121,549,596,547,644,4,9,35874
390,668,295,116,736,878,867,777,94,11,44986
166,491,576,30,657,824,828,534,47,30,32291
375,714,439,29,792,911,752,709,1,11,35569
206,739,219,76,409,544,459,513,58,28,30612
233,582,367,95,486,531,514,520,62,7,31519
480,543,375,94,594,546,571,605,90,30,38819
191,940,595,126,475,625,654,479,80,5,38329
490,738,318,46,716,852,728,694,93,23,42395
306,886,505,79,777,973,882,712,96,24,45576
383,538,283,40,477,484,477,516,69,15,30542
311,941,559,78,433,514,598,552,91,30,38651
475,520,533,72,545,456,551,521,12,15,31664
386,804,409,100,566,535,464,526,83,12,37416
318,778,687,96,682,940,985,657,64,24,44263
418,976,427,148,647,792,823,719,22,15,44197
184,807,330,135,535,770,732,583,1,7,34419
394,771,318,125,500,592,544,676,7,5,35512
382,958,560,71,807,975,860,725,98,5,46874
460,831,692,39,735,836,787,732,21,5,40225
186,921,654,71,590,777,698,539,17,15,34831
396,723,607,85,497,571,685,545,21,13,35227
119,714,347,89,611,884,789,608,92,14,37814
499,750,252,139,484,481,493,672,47,24,38919
327,869,428,113,435,491,629,594,94,13,39367
291,510,291,46,477,515,586,435,96,24,31136
485,880,594,113,727,771,685,716,82,26,46728
269,802,665,121,512,684,793,629,14,21,38014
480,524,661,119,713,778,688,724,18,23,40716
376,898,634,126,529,580,716,603,82,21,43002
191,830,675,100,623,835,794,639,31,25,38771
311,730,485,125,500,533,640,577,85,9,38587
481,737,373,118,794,980,1075,808,84,8,49162
241,403,520,68,560,782,750,537,20,26,31437
318,507,270,128,514,493,637,521,60,6,33615
362,404,440,38,792,970,1027,701,67,7,38999
168,508,451,139,566,729,659,581,89,6,36995
429,446,471,143,646,699,780,744,95,14,43660
410,950,318,97,638,660,525,601,80,15,40474
451,926,248,105,623,632,689,604,44,16,39621
315,582,557,125,526,508,650,571,11,9,33434
228,916,322,80,575,777,638,535,1,26,33112
451,649,406,25,761,884,724,715,54,9,38470
280,627,258,98,602,780,751,637,71,12,37524
304,550,314,37,560,743,593,515,67,11,31989
378,540,353,143,630,765,880,725,56,26,41967
259,510,564,22,756,962,902,603,63,13,36250
119,650,442,89,472,691,679,516,69,15,33124
447,799,255,115,791,927,917,839,12,8,43229
204,481,545,133,371,464,610,495,73,13,33200
166,707,579,59,550,789,907,476,18,21,32724
238,710,482,111,650,830,870,646,44,28,39459
433,911,347,65,593,542,606,600,48,9,36697
457,611,402,58,690,752,602,632,32,20,36065
256,799,447,71,592,783,848,562,58,11,37310
298,529,432,70,663,932,829,685,86,9,39598
250,655,617,43,687,976,980,627,52,10,38359
310,947,263,77,611,805,813,602,73,29,40447
259,605,462,144,567,772,801,677,72,30,41242
113,714,670,24,403,456,444,328,31,11,24299
416,431,368,112,546,508,512,541,46,19,33463
225,705,435,53,660,912,796,560,53,23,36056
315,843,334,83,801,968,796,735,69,25,42906
119,874,579,105,693,933,808,572,48,26,39113
111,557,461,42,311,432,544,340,12,19,22184
140,631,448,88,684,899,988,542,17,17,34520
107,585,374,53,505,643,532,430,53,17,27615
126,415,528,58,562,736,682,499,95,28,32702
140,724,512,108,530,623,685,483,6,15,30986
293,476,397,36,571,593,659,489,45,6,29300
425,944,253,46,591,624,644,597,91,26,39269
449,671,264,68,628,661,610,670,84,28,39038
258,886,696,41,445,557,538,515,64,21,34216
237,989,582,66,421,484,444,495,57,24,33614
278,833,280,120,431,469,465,563,86,6,35792
184,822,557,40,699,963,911,527,88,26,39353
330,747,304,90,504,459,411,454,26,14,30141
125,572,370,39,307,459,462,285,34,28,22596
377,800,460,114,449,516,479,603,57,23,37321
198,654,568,52,445,631,728,465,22,28,30240
335,475,630,133,723,823,821,666,42,30,40782
385,671,399,90,824,968,911,730,84,8,44306
382,685,397,84,653,845,681,694,81,28,41385
464,473,235,92,798,861,967,695,42,21,40277
363,585,530,135,706,813,752,751,53,16,42219
341,769,449,137,714,902,884,761,92,14,46789
126,662,228,144,676,882,981,601,70,30,39834
200,876,683,144,700,912,879,647,19,24,41929
257,707,574,57,658,880,983,627,22,22,37162
448,432,211,102,727,809,692,698,30,19,37088
261,993,266,63,501,691,617,506,19,13,32605
131,900,297,104,525,651,649,427,21,5,30989
445,593,638,44,592,614,636,579,48,14,35459
349,787,350,78,553,594,572,604,92,5,37561
343,892,433,112,535,553,628,519,92,10,39546
225,906,624,22,715,920,1028,583,79,23,40565
451,850,565,45,525,585,555,639,59,25,37952
208,462,377,109,606,861,974,606,32,24,35907
308,558,583,88,577,683,692,579,48,24,35893
215,846,673,122,662,880,751,600,97,7,43329
348,639,322,40,449,484,542,527,80,24,32335
464,726,299,20,677,694,615,578,33,21,34045
451,532,225,69,510,455,370,565,8,11,28619
461,794,360,133,673,844,684,723,84,18,45707
401,921,405,106,476,538,626,575,36,11,37285
319,882,228,137,598,674,723,596,84,9,41089
381,448,248,88,468,434,416,555,24,18,28901
446,826,526,131,808,962,1062,765,13,28,46569
446,493,407,133,665,687,777,713,100,27,43833
352,608,612,134,696,864,863,723,4,16,40474
466,928,335,51,637,772,630,732,34,15,39206
169,945,316,75,415,548,693,429,24,12,30319
449,527,258,78,603,697,612,619,18,6,33519
131,937,344,100,597,931,964,536,26,16,37105
257,698,284,80,677,850,822,653,2,5,34163
495,721,561,128,695,784,727,727,28,13,42964
275,688,449,56,689,815,909,615,38,20,36554
186,615,658,47,466,567,479,426,7,14,26428
331,613,598,63,694,847,892,625,0,12,35655
371,989,510,91,580,707,767,659,40,6,40497
328,763,434,28,702,900,815,664,53,24,38160
409,810,698,120,470,453,386,562,68,22,38604
209,552,396,69,492,594,598,481,96,20,32816
128,743,543,141,356,483,633,425,70,30,34351
290,412,382,121,417,470,561,484,8,13,28589
203,943,257,126,585,851,731,656,70,12,40610
279,736,387,59,553,755,639,622,15,27,33314
286,639,240,105,646,734,640,613,25,28,34635
487,875,454,147,747,757,643,725,62,9,45695
400,888,641,135,669,745,796,653,44,26,44218
274,652,464,55,443,565,508,532,74,20,32645
238,414,499,142,419,461,444,493,94,10,33587
273,414,628,38,447,539,474,506,29,16,27421
270,625,237,33,712,991,978,620,39,28,35935
438,431,661,75,571,652,666,669,100,30,40331
493,636,621,138,758,780,760,818,54,8,45636
397,439,541,20,772,902,755,704,24,12,35012
229,865,641,86,746,931,855,612,18,19,39030
243,579,590,37,534,582,451,509,47,25,29815
277,773,582,88,509,555,447,515,36,21,33150
353,444,367,36,481,565,582,541,75,7,31155
171,687,564,108,658,886,853,589,62,20,39101
435,452,230,86,600,575,536,647,28,25,33021
213,844,382,134,546,669,695,604,44,23,37637
228,905,434,28,576,697,768,436,93,19,35610
368,433,299,33,589,615,556,551,92,10,32508
232,830,580,148,602,754,858,633,33,29,40997
112,758,218,37,383,502,501,285,19,18,22642
231,993,251,26,563,786,787,550,48,8,34263
232,918,618,95,547,760,778,568,16,13,36803
177,715,299,121,657,896,848,676,27,5,37117
187,652,243,138,725,925,821,662,5,17,36425
284,945,593,38,558,668,555,488,2,9,31432
244,619,340,54,542,704,773,524,46,11,32161
342,709,373,124,755,890,736,687,53,26,41856
289,765,350,103,805,991,988,705,34,16,41606
439,546,635,147,652,691,822,684,26,28,41628
454,669,529,144,596,694,625,696,42,12,41427
184,900,352,125,679,946,854,609,53,20,40872
281,994,442,141,431,495,519,581,98,14,40494
270,987,237,94,523,656,538,533,71,20,36778
170,428,693,69,488,648,741,407,28,21,29293
157,829,503,40,400,473,473,359,34,25,26938
142,786,490,96,687,911,902,530,100,15,40573
271,542,600,92,638,744,638,637,14,28,34485
494,703,552,59,468,447,458,515,54,14,34418
327,750,676,96,653,783,896,612,42,27,40760
166,669,426,23,729,985,907,559,73,26,36109
372,554,617,136,801,952,971,806,4,7,42605
490,659,640,128,784,907,883,859,21,29,46230
483,743,402,69,716,838,930,702,67,7,43007
330,959,602,67,709,941,975,723,31,22,42877
374,581,542,138,753,915,1012,797,59,29,46147
276,886,657,94,719,952,913,651,53,15,43061
128,820,550,97,534,743,826,534,19,26,34550
270,893,399,73,497,635,669,524,47,11,34709
481,835,449,40,563,619,539,670,77,12,38710
493,481,407,115,566,603,567,633,96,17,40165
148,642,525,66,634,921,914,555,87,14,37786
354,662,627,95,784,1000,1083,787,50,13,45013
141,924,537,30,512,630,750,403,37,29,31005
485,924,282,82,749,942,1014,840,20,12,44600
283,841,555,61,367,456,366,448,91,5,32885
264,898,295,93,432,578,458,545,19,19,31997
176,757,653,125,586,847,962,545,21,17,38206
139,765,420,108,424,486,401,415,74,11,31006
133,789,302,126,498,606,526,521,41,25,32692
243,642,692,60,637,756,700,594,51,29,36083
243,855,256,47,758,989,993,600,27,18,37123
372,603,486,131,402,449,569,570,5,9,32743
411,958,278,63,574,544,504,584,55,21,36247
281,730,448,116,448,523,601,518,36,21,34003
217,930,200,42,572,821,859,524,45,10,34342
390,485,599,50,762,927,819,663,95,18,41326
160,437,566,140,581,718,803,549,0,13,32480
321,989,246,96,716,827,803,691,84,19,43365
436,650,647,132,662,811,716,731,70,5,44389
241,557,492,111,600,676,747,555,90,16,37774
148,841,488,26,496,752,614,398,69,27,31759
123,671,335,83,658,979,907,564,19,8,33866
192,439,515,150,521,694,763,540,98,27,38583
262,996,430,76,424,478,388,468,4,24,30022
463,905,330,144,715,772,728,770,84,6,46978
282,722,312,87,581,662,532,560,6,25,31723
497,770,448,31,638,621,691,664,90,8,39749
248,654,268,133,632,872,891,699,21,24,38527
408,789,696,136,476,552,601,690,21,25,39773
243,654,435,116,721,988,827,743,25,11,39512
117,719,309,45,536,739,799,499,66,18,31992
165,988,607,40,314,446,576,400,2,11,27169
143,778,674,133,613,893,724,567,23,30,38032
181,531,360,74,697,930,998,568,17,23,34015
207,514,494,99,617,908,985,619,21,27,36450
446,773,693,25,621,716,617,669,21,15,36384
400,821,247,47,595,736,692,610,10,29,34528
342,980,582,131,620,694,625,684,49,21,42534
378,506,396,133,502,447,585,632,89,27,38093
406,815,429,64,776,871,983,670,93,20,44632
392,489,200,92,580,552,577,625,80,25,35613
228,884,587,93,386,448,504,427,19,5,30447
230,631,227,37,587,794,689,506,36,24,30595
281,407,427,115,579,648,751,550,94,15,36947
325,429,241,98,622,812,826,624,38,8,35104
403,891,357,63,673,820,781,650,67,18,41146
105,750,646,95,476,631,718,489,78,5,34792
212,910,240,128,501,636,598,560,47,20,35869
403,812,598,95,854,991,951,716,14,19,43534
388,535,557,113,585,707,557,618,91,9,39735
267,920,490,52,506,696,611,566,54,6,35177
358,994,579,115,659,813,784,639,50,24,43750
190,982,379,103,340,446,542,416,46,15,31893
245,605,209,85,556,795,880,575,87,6,36868
394,507,680,60,771,988,1056,766,13,7,40248
407,837,612,126,744,839,790,794,50,25,45941
413,505,394,124,617,683,615,698,1,29,35986
275,778,324,120,468,507,424,536,57,27,34315
136,937,581,131,606,882,768,567,78,14,41536
419,981,334,147,760,983,879,775,21,9,46082
174,611,476,39,638,809,870,470,67,26,33770
310,779,358,51,616,834,724,615,67,28,37845
456,876,529,45,800,943,1000,676,13,6,41207
171,443,639,42,464,497,594,343,85,25,28714
293,843,533,29,750,935,996,586,41,21,38727
477,588,281,131,552,490,411,672,38,15,36070
164,536,481,42,397,523,562,372,50,25,26612
396,529,287,59,614,756,824,664,34,16,35416
469,762,353,101,656,631,547,649,14,11,36729
353,501,534,134,790,942,984,765,47,17,43740
144,952,237,104,525,665,579,436,69,26,34461
401,555,467,147,725,837,839,743,62,19,44050
211,850,626,42,559,777,713,496,81,18,36559
205,584,325,51,498,661,727,470,65,10,30910
193,529,280,41,693,922,988,605,66,5,34856
403,769,288,54,583,646,675,544,37,27,34757
473,786,368,62,539,542,621,643,19,24,35378
393,495,471,55,484,569,684,600,99,12,36314
260,982,400,129,703,840,759,632,71,21,43151
454,932,299,69,742,786,803,646,6,13,38597
473,996,462,77,564,602,594,680,76,9,41777
384,624,555,93,524,533,617,537,71,6,36379
410,982,235,136,582,564,580,667,15,19,38566
141,942,395,93,561,805,865,502,41,8,35949
245,932,551,113,681,859,912,595,80,14,43495
181,849,278,139,414,590,454,488,87,29,36015
313,934,656,81,713,878,870,678,58,9,43002
257,503,535,143,729,882,944,648,29,23,39843
215,583,600,25,520,727,736,439,85,9,32660
231,694,650,76,637,783,774,594,29,6,35519
435,827,655,29,516,435,401,553,47,24,33672
484,895,281,147,711,857,762,868,41,9,46463
212,985,328,133,637,855,900,682,58,20,42745
474,890,566,130,568,512,602,627,55,18,41792
313,541,255,129,785,951,1034,694,20,16,39883
305,785,698,51,679,814,849,560,43,13,37940
424,524,284,20,661,831,903,699,43,28,36386
481,494,543,63,871,995,993,793,39,27,43228
269,906,523,31,559,779,793,529,74,13,37140
353,698,512,76,593,657,606,612,0,7,33196
356,823,563,59,510,497,581,498,64,28,35393
171,719,505,122,612,782,870,617,16,22,36598
265,470,540,20,665,813,754,486,100,11,34524
448,832,498,123,730,754,625,759,81,11,45226
230,879,644,70,715,875,878,550,36,15,38413
272,628,319,115,510,692,581,549,62,8,35052
185,908,663,78,412,566,479,434,88,25,35105
400,760,225,48,690,833,866,616,49,30,38334
112,921,623,110,720,979,880,556,33,28,39692
107,796,265,88,676,933,1001,609,97,13,39916
253,445,626,80,546,637,676,500,51,25,32921
464,702,534,110,787,905,783,825,91,12,47466
457,581,669,74,530,459,517,608,89,20,37905
