Index,pizza,egg-tomato,bean,Fish in oil,coca_cola,humberger,franch_frise,dessert,family_portrait_package,dumplings,营业额,净利润,成本
49,367,464,683,105,505,566,505,628,66,20,36552,12010,24542
50,360,411,558,149,665,770,834,724,25,17,39755,12849.8,26905.2
51,338,828,567,70,545,668,586,518,13,25,34165,11339,22826
52,295,403,554,108,623,839,885,648,81,9,39770,12925.8,26844.2
53,362,688,483,109,501,532,456,532,79,20,36699,12123.5,24575.5
54,164,589,506,29,604,879,719,555,37,11,31301,10248.4,21052.6
55,224,497,466,28,377,509,444,346,12,7,22643,7514.1,15128.9
56,284,819,538,93,598,795,650,596,3,11,35399,11669.2,23729.8
57,370,478,602,46,665,862,732,598,0,29,33696,10987.5,22708.5
58,216,670,641,133,545,738,799,613,55,9,38966,12827.2,26138.8
59,219,742,373,81,455,621,614,536,59,17,33402,11017,22385
60,466,989,239,112,703,842,840,795,81,18,47350,15435.5,31914.5
61,375,978,390,105,734,810,883,736,20,13,42191,13742.9,28448.1
62,271,432,394,78,599,713,671,523,54,12,32525,10556,21969
63,144,949,215,31,548,700,690,430,52,22,30860,10196.6,20663.4
64,500,856,259,119,760,963,914,845,71,19,48622,15777.8,32844.2
65,282,984,245,38,479,485,506,499,40,17,30708,10144.5,20563.5
66,373,965,457,96,758,849,955,674,62,29,45044,14750.1,30293.9
67,418,770,420,99,508,504,389,538,38,13,34332,11325.3,23006.7
68,183,871,362,63,413,516,559,402,15,12,27801,9256.5,18544.5
69,292,488,609,76,592,806,754,634,29,18,35235,11504.9,23730.1
70,416,1000,345,62,697,883,935,657,67,27,43876,14392.6,29483.4
71,291,733,432,49,592,748,681,599,35,18,34234,11212.7,23021.3
72,463,971,579,52,596,608,692,648,38,30,39698,13107.2,26590.8
73,141,929,351,116,498,732,827,488,42,24,36114,11967.2,24146.8
74,140,988,343,110,446,681,694,458,11,10,32446,10802.1,21643.9
75,169,562,410,37,478,529,601,340,84,28,28573,9444,19129
76,493,509,403,78,647,779,888,757,23,20,39198,12632.7,26565.3
77,192,671,513,56,536,643,673,475,51,6,31362,10325.3,21036.7
78,241,601,299,37,469,595,525,471,50,26,28669,9412.6,19256.4
79,402,808,540,53,752,828,716,677,51,11,39974,13059.2,26914.8
80,245,431,699,43,645,858,846,535,70,13,35357,11574.7,23782.3
81,392,884,392,72,569,604,489,535,23,24,34401,11357.5,23043.5
82,253,657,322,141,468,582,671,551,75,17,36863,12090.4,24772.6
83,477,911,679,21,696,839,740,720,19,10,39776,13076.3,26699.7
84,351,677,302,95,419,484,579,522,38,27,32792,10774.7,22017.3
85,198,880,546,48,388,546,443,468,6,6,27746,9305.8,18440.2
86,277,972,399,142,477,550,649,519,33,17,37088,12296.6,24791.4
87,252,506,563,129,459,453,572,527,74,22,34628,11384,23244
88,289,955,300,67,520,608,725,538,18,6,33254,10930.4,22323.6
89,427,435,473,27,744,924,955,642,71,22,39071,12627.5,26443.5
90,419,731,478,89,579,620,715,653,91,9,40964,13408.8,27555.2
91,231,580,520,133,549,791,886,657,57,5,39211,12805.6,26405.4
92,394,401,407,149,776,905,808,838,99,29,46332,14927,31405
93,479,480,216,25,710,813,656,661,5,8,32119,10254.5,21864.5
94,134,559,611,61,341,481,499,359,91,8,28766,9634.5,19131.5
95,498,829,502,100,745,901,886,790,49,24,46408,15140.7,31267.3
96,291,417,467,33,755,968,961,581,0,9,32399,10406.7,21992.3
97,113,491,675,150,657,941,968,581,89,28,41898,13751.7,28146.3
98,214,459,628,66,400,461,492,421,58,28,28757,9546.6,19210.4
99,157,463,232,76,636,907,1013,547,14,13,31633,10157.7,21475.3
100,264,476,477,137,674,910,840,673,38,9,38945,12626.3,26318.7
101,346,846,407,64,501,507,644,483,60,29,34940,11552.5,23387.5
102,161,604,438,136,378,463,498,410,83,14,32240,10700.7,21539.3
103,117,599,489,139,398,547,626,405,53,29,31991,10631,21360
104,304,586,309,61,555,581,602,566,87,29,34429,11218.8,23210.2
105,377,585,278,99,532,632,537,621,0,11,31951,10360.1,21590.9
106,412,499,559,36,553,594,494,523,6,7,29149,9526.1,19622.9
107,258,974,349,125,628,792,862,647,54,21,41843,13736.3,28106.7
108,121,408,602,114,701,934,1021,570,30,6,35600,11534.8,24065.2
109,287,628,245,93,711,936,953,729,24,7,38027,12221.5,25805.5
110,249,688,307,80,442,459,377,461,40,10,28395,9349.6,19045.4
111,272,747,500,70,652,857,838,656,37,16,37859,12377.9,25481.1
112,448,455,700,147,707,842,947,735,94,12,47322,15406,31916
113,114,576,523,90,473,630,623,501,29,20,29822,9824.9,19997.1
114,237,726,283,141,430,440,415,501,27,18,31081,10228.9,20852.1
115,371,843,399,86,734,891,879,722,78,25,44356,14474.5,29881.5
116,294,852,450,108,435,458,457,497,86,24,36243,12058.8,24184.2
117,185,936,599,110,736,998,1029,623,74,17,44591,14691.7,29899.3
118,496,680,620,136,750,941,1001,874,16,25,47336,15375.1,31960.9
119,268,991,223,144,703,921,967,699,5,12,41529,13518.5,28010.5
120,418,904,213,123,767,935,923,759,1,29,42975,13927.2,29047.8
121,406,721,258,54,483,515,392,491,27,27,30243,9947,20296
122,324,649,546,29,592,723,638,522,15,30,31712,10434.1,21277.9
123,101,887,445,90,521,674,605,454,14,8,30381,10085.6,20295.4
124,264,539,249,64,482,498,408,471,77,7,29156,9512.2,19643.8
125,351,445,424,29,484,577,717,504,51,11,30360,9880.8,20479.2
126,120,788,593,134,643,923,901,668,68,11,41838,13752.9,28085.1
127,111,451,325,141,581,728,713,473,59,22,33150,10791.9,22358.1
128,198,569,346,24,491,527,529,357,50,13,25515,8381.5,17133.5
129,286,616,548,143,518,649,594,658,60,9,38375,12591.5,25783.5
130,434,428,200,56,704,774,864,644,23,12,34290,10923.3,23366.7
131,409,851,625,104,601,583,678,586,9,21,37691,12425.6,25265.4
132,219,956,674,103,421,552,435,542,36,5,34328,11515.7,22812.3
133,453,996,601,29,760,915,745,698,8,27,40455,13313.3,27141.7
134,432,814,504,148,789,999,1089,865,54,7,50051,16253.1,33797.9
135,218,888,384,100,612,864,953,567,79,12,40996,13485.1,27510.9
136,329,518,534,142,626,825,783,673,43,13,40091,13063.8,27027.2
137,206,932,658,63,679,839,736,592,13,22,36309,12011.3,24297.7
138,498,569,641,93,540,562,489,647,35,12,36748,12053.9,24694.1
139,105,851,272,112,472,586,554,393,14,30,29237,9706,19531
140,280,626,483,111,696,844,796,674,78,17,41147,13404.7,27742.3
141,322,726,532,55,701,838,931,567,38,16,37666,12311.8,25354.2
142,385,527,459,23,800,937,869,660,46,21,37371,12059.1,25311.9
143,203,509,327,104,517,604,646,478,24,7,29462,9577.3,19884.7
144,453,666,240,136,599,535,558,699,98,22,41645,13521.6,28123.4
145,251,946,430,54,497,518,450,436,59,20,32092,10703.9,21388.1
146,214,669,372,76,531,586,687,433,91,14,33673,11070.3,22602.7
147,374,988,416,57,670,838,807,608,23,13,38668,12710.4,25957.6
148,372,533,360,88,583,743,806,666,1,14,34514,11148.9,23365.1
149,406,970,666,99,668,726,797,640,6,16,40715,13426.6,27288.4
150,473,417,525,33,662,661,598,668,69,14,35830,11586.5,24243.5
151,272,915,519,144,726,891,958,676,32,26,44008,14429.4,29578.6
152,144,443,268,79,573,826,738,474,6,11,27935,9037.1,18897.9
153,252,418,475,50,784,986,1005,670,39,18,36517,11729.3,24787.7
154,348,868,656,42,486,601,653,491,64,16,36003,12012.4,23990.6
155,193,882,686,40,488,701,796,471,3,11,31531,10528.6,21002.4
156,166,610,383,122,579,781,763,523,24,13,33556,10963.1,22592.9
157,300,790,320,100,611,817,693,694,50,16,38934,12715.4,26218.6
158,201,875,418,133,361,479,388,493,3,12,30306,10116.5,20189.5
159,244,842,472,41,667,913,1002,565,2,26,35525,11648.4,23876.6
160,379,689,351,87,787,991,990,736,13,9,40480,13053,27427
161,444,734,381,85,664,719,657,669,8,30,37253,12126.8,25126.2
162,250,563,667,28,706,872,827,535,54,7,34718,11357.1,23360.9
163,269,651,682,139,536,605,645,620,23,26,36909,12158.1,24750.9
164,164,916,298,145,678,916,947,670,27,20,40777,13312.9,27464.1
165,387,894,559,82,640,697,662,624,45,19,39614,13052.8,26561.2
166,177,472,283,72,393,514,498,409,95,6,28625,9398.9,19226.1
167,217,691,382,144,583,731,738,658,58,21,39020,12742.3,26277.7
168,342,405,300,128,626,686,587,663,68,14,36812,11867.8,24944.2
169,208,682,513,107,748,960,940,690,93,24,43550,14206.5,29343.5
170,255,568,659,21,664,946,802,566,52,12,35059,11508,23551
171,110,862,458,147,291,435,344,393,82,10,32409,10930,21479
172,117,943,458,68,349,437,477,386,30,30,28087,9471.2,18615.8
173,401,779,632,123,541,487,543,614,4,28,36416,12007.8,24408.2
174,119,977,640,103,575,755,861,453,74,17,38927,12987.1,25939.9
175,240,528,687,91,403,537,504,481,70,30,33086,11020.4,22065.6
176,206,550,332,78,414,520,566,482,9,8,26512,8661.1,17850.9
177,205,703,672,72,649,936,775,597,85,23,40015,13221.4,26793.6
178,222,671,264,104,445,582,564,554,83,29,34686,11397.4,23288.6
179,458,722,549,69,624,756,820,649,96,19,43189,14172.7,29016.3
180,492,788,273,127,655,633,749,714,68,30,43608,14177.2,29430.8
181,221,873,597,55,601,781,874,509,15,8,34465,11390.5,23074.5
182,402,662,500,148,611,762,706,769,74,6,44045,14372.8,29672.2
183,246,449,476,142,405,483,492,467,14,18,29604,9735.6,19868.4
184,419,836,564,61,690,736,859,639,50,8,40436,13231.6,27204.4
185,236,593,581,52,587,710,722,510,5,17,30475,9988.8,20486.2
186,254,866,688,22,417,504,442,458,59,20,31181,10493.7,20687.3
187,377,843,285,59,541,653,601,608,94,23,38478,12646.5,25831.5
188,150,433,373,65,395,458,481,331,57,7,24600,8097.8,16502.2
189,124,447,283,32,437,651,717,438,10,11,23740,7704.1,16035.9
190,424,979,663,128,607,734,723,688,48,15,44663,14778.5,29884.5
191,219,795,522,147,435,459,456,522,22,13,32997,10946.9,22050.1
192,317,476,381,124,747,903,970,714,17,26,39310,12636.5,26673.5
193,470,864,469,28,514,549,436,509,58,22,34660,11509.4,23150.6
194,443,506,494,144,769,949,904,810,6,12,42813,13796.6,29016.4
195,257,985,264,90,525,661,724,528,59,8,36585,12064.3,24520.7
196,373,940,431,124,618,645,583,590,72,11,41112,13554.3,27557.7
197,116,942,316,77,586,838,741,482,91,30,37359,12385.1,24973.9
198,344,640,460,132,568,746,605,674,44,20,38948,12755,26193
199,213,751,269,129,561,793,719,637,77,12,39085,12784.9,26300.1
200,461,430,340,98,557,647,551,727,59,20,37243,12041.9,25201.1
201,302,437,589,32,512,598,706,527,30,5,29524,9623.5,19900.5
202,464,697,222,54,823,988,957,770,43,11,41716,13397.8,28318.2
203,433,790,413,33,598,625,628,538,14,13,32871,10769.1,22101.9
204,420,427,229,53,705,912,822,718,83,10,38961,12502.7,26458.3
205,342,1000,694,48,661,804,706,578,6,23,37402,12425.1,24976.9
206,375,861,286,46,651,766,711,582,25,27,35647,11657.8,23989.2
207,465,744,572,85,769,988,929,738,51,25,45472,14853,30619
208,408,656,556,142,530,445,491,545,20,28,35611,11718.4,23892.6
209,371,940,352,56,758,914,873,693,37,9,40612,13228.2,27383.8
210,155,999,499,71,633,908,998,520,24,28,37654,12469,25185
211,381,959,657,125,473,513,497,551,42,12,38583,12878.8,25704.2
212,445,887,390,81,760,866,747,709,21,21,41107,13400.6,27706.4
213,237,562,409,144,477,529,555,479,82,26,35340,11632.6,23707.4
214,248,858,214,112,603,845,944,665,83,10,41836,13646.9,28189.1
215,205,842,358,28,391,477,474,375,45,20,27157,9078.3,18078.7
216,408,996,618,35,591,604,730,606,98,22,41516,13753,27763
217,411,578,311,60,628,650,670,614,57,10,35234,11395.9,23838.1
218,246,622,459,125,472,499,606,454,83,11,34804,11473.4,23330.6
219,432,793,260,37,778,939,953,669,62,23,41367,13410.3,27956.7
220,437,752,434,127,799,879,924,738,57,30,46106,14981.1,31124.9
221,158,647,539,69,454,587,708,398,24,5,28582,9462.1,19119.9
222,280,945,383,33,568,702,808,571,49,26,35932,11835.3,24096.7
223,300,497,238,98,476,603,590,602,6,30,30503,9880.8,20622.2
224,119,707,340,110,532,696,550,461,89,6,33805,11148.9,22656.1
225,348,958,339,133,480,448,327,502,17,16,33572,11140.7,22431.3
226,351,400,288,41,714,861,911,667,90,22,37913,12168,25745
227,306,656,664,133,633,866,936,705,19,17,41365,13537,27828
228,300,416,469,85,602,778,642,564,4,13,31351,10176.5,21174.5
229,283,711,201,75,604,664,522,500,77,14,33777,11033.9,22743.1
230,237,728,670,79,450,446,372,421,53,23,30939,10361.6,20577.4
231,337,430,395,131,636,740,769,680,17,27,36636,11817,24819
232,210,874,467,138,660,893,821,700,22,20,40700,13342.6,27357.4
233,281,482,364,62,739,955,840,705,44,14,36631,11781.4,24849.6
234,104,724,520,52,515,661,696,406,40,16,29484,9777.4,19706.6
235,148,587,502,139,503,639,754,555,26,10,33535,10977.8,22557.2
236,373,434,284,115,587,696,684,610,40,19,35370,11426.9,23943.1
237,451,588,246,64,630,608,577,573,59,27,35122,11386.2,23735.8
238,184,834,252,29,460,591,730,374,12,8,26562,8762.4,17799.6
239,276,662,287,57,666,916,938,653,9,24,35222,11392.1,23829.9
240,121,508,545,136,487,619,507,453,19,25,29917,9882.2,20034.8
241,349,644,406,144,537,686,663,657,19,21,37569,12275.6,25293.4
242,294,792,513,42,709,903,809,610,34,24,37271,12217.4,25053.6
243,101,886,487,78,445,625,688,481,18,11,30559,10163.9,20395.1
244,225,470,341,25,405,495,410,420,99,17,27540,9067.4,18472.6
245,363,850,486,50,433,505,503,562,60,17,34370,11404.1,22965.9
246,274,908,326,110,659,761,636,574,31,20,37192,12208.7,24983.3
247,403,946,327,75,539,516,625,561,59,20,37214,12249.5,24964.5
248,413,660,443,47,494,444,561,565,38,20,32195,10534.8,21660.2
249,418,667,601,75,748,922,1005,742,11,8,41004,13301.1,27702.9
250,397,725,579,87,755,994,901,817,100,5,47309,15422.3,31886.7
251,461,758,527,58,584,591,580,627,28,11,35806,11736.5,24069.5
252,256,765,440,149,785,972,973,686,41,7,43303,14077.8,29225.2
253,490,736,513,39,468,439,386,515,82,14,34663,11483.2,23179.8
254,468,613,432,33,464,466,432,561,31,10,30513,9995.1,20517.9
255,437,540,651,34,481,544,653,519,45,26,33383,11008.1,22374.9
256,366,648,390,66,705,907,821,661,2,11,36029,11669.5,24359.5
257,100,887,201,117,530,665,724,434,13,16,31013,10202.1,20810.9
258,297,459,412,143,503,643,724,609,46,28,36546,11909,24637
259,111,894,574,114,657,979,1072,603,78,17,43120,14224.1,28895.9
260,389,409,653,106,594,576,522,572,28,14,33838,11040.2,22797.8
261,412,628,230,92,554,647,696,666,46,18,36711,11895,24816
262,393,727,467,143,593,717,734,638,53,17,41630,13649.4,27980.6
263,464,516,247,121,483,512,524,676,83,17,38012,12337.8,25674.2
264,484,435,591,40,522,435,546,581,87,18,34760,11345.5,23414.5
265,147,452,248,20,672,956,908,569,15,5,28822,9215,19607
266,212,777,300,34,437,468,442,444,42,19,27092,8953.7,18138.3
267,319,971,400,34,638,819,869,621,67,6,39214,12876.3,26337.7
268,336,450,675,64,553,584,560,500,26,7,30713,10069.5,20643.5
269,161,974,393,113,712,944,891,677,91,17,43888,14403,29485
270,371,582,292,42,739,848,700,665,74,21,37475,12105.1,25369.9
271,358,488,614,34,624,738,650,634,76,21,36169,11812.3,24356.7
272,197,790,475,116,468,650,637,588,50,29,36267,12000.5,24266.5
273,339,672,371,41,621,785,746,541,89,22,37205,12185.9,25019.1
274,104,930,437,22,605,861,903,427,93,17,35592,11811,23781
275,156,791,393,103,333,442,563,448,47,13,30322,10089.8,20232.2
276,368,898,377,67,419,461,335,514,58,25,33327,11099.9,22227.1
277,188,430,464,69,641,850,838,607,80,13,35673,11566.5,24106.5
278,356,926,479,31,662,795,879,661,18,21,37626,12321.5,25304.5
279,499,739,300,110,526,552,536,703,19,14,37043,12061.1,24981.9
280,100,576,601,112,511,785,747,511,3,22,31585,10424.7,21160.3
281,236,724,264,35,743,944,851,563,64,29,36353,11823.1,24529.9
282,265,897,569,21,441,588,621,435,3,6,28804,9632.7,19171.3
283,333,666,362,101,607,633,766,560,54,19,36809,11993.7,24815.3
284,291,735,359,71,715,930,839,632,83,11,40377,13163,27214
285,481,511,537,48,498,454,539,526,11,11,30271,9886.8,20384.2
286,378,945,597,59,488,467,356,456,21,24,32213,10797.3,21415.7
287,142,665,519,77,464,697,596,458,56,19,31736,10546.3,21189.7
288,441,846,475,62,583,611,669,632,14,6,35894,11755.8,24138.2
289,337,445,664,77,598,735,841,560,32,22,35479,11594.4,23884.6
290,335,683,448,71,474,530,413,460,41,13,30889,10222.6,20666.4
291,403,985,656,88,793,919,968,731,92,24,49127,16148.6,32978.4
292,342,413,555,85,595,681,709,594,7,20,32766,10632.5,22133.5
293,454,987,560,68,765,924,951,786,0,11,43214,14109.7,29104.3
294,290,806,232,61,592,655,682,532,44,19,33579,10965.3,22613.7
295,408,774,339,117,824,971,919,813,6,20,43113,13910.8,29202.2
296,102,768,282,69,692,952,839,496,40,17,33736,11025.9,22710.1
297,237,860,334,106,676,923,1014,698,70,12,42836,13966.2,28869.8
298,166,420,621,36,720,924,890,530,88,13,35324,11503.5,23820.5
299,112,903,554,142,408,527,405,412,2,30,30513,10283,20230
300,365,495,354,37,567,673,549,589,17,18,29974,9711.1,20262.9
301,227,536,502,49,659,979,871,638,16,22,34410,11192.6,23217.4
302,401,486,472,59,675,752,788,689,42,26,37015,11962,25053
303,277,500,400,53,635,874,741,630,24,5,32846,10625.7,22220.3
304,322,417,634,92,452,495,600,528,67,8,33295,10927.3,22367.7
305,147,548,352,83,566,698,744,495,88,19,33737,11013.7,22723.3
306,266,710,508,148,481,590,680,548,79,7,38788,12796.2,25991.8
307,125,729,501,135,450,581,655,532,10,27,32317,10682.1,21634.9
308,329,412,654,34,429,441,361,423,5,19,24642,8152.2,16489.8
309,464,426,561,137,671,701,593,754,86,28,43156,14021.2,29134.8
310,290,712,415,124,447,454,592,470,12,17,31661,10432.7,21228.3
311,229,796,474,120,655,838,683,603,23,23,37533,12334.2,25198.8
312,440,810,263,121,549,596,547,644,4,9,35874,11702.3,24171.7
313,390,668,295,116,736,878,867,777,94,11,44986,14548.1,30437.9
314,166,491,576,30,657,824,828,534,47,30,32291,10533.3,21757.7
315,375,714,439,29,792,911,752,709,1,11,35569,11491.4,24077.6
316,206,739,219,76,409,544,459,513,58,28,30612,10096.2,20515.8
317,233,582,367,95,486,531,514,520,62,7,31519,10310.1,21208.9
318,480,543,375,94,594,546,571,605,90,30,38819,12644,26175
319,191,940,595,126,475,625,654,479,80,5,38329,12801.9,25527.1
320,490,738,318,46,716,852,728,694,93,23,42395,13804.8,28590.2
321,306,886,505,79,777,973,882,712,96,24,45576,14933.6,30642.4
322,383,538,283,40,477,484,477,516,69,15,30542,9953.6,20588.4
323,311,941,559,78,433,514,598,552,91,30,38651,12893.1,25757.9
324,475,520,533,72,545,456,551,521,12,15,31664,10329.7,21334.3
325,386,804,409,100,566,535,464,526,83,12,37416,12332.3,25083.7
326,318,778,687,96,682,940,985,657,64,24,44263,14572.2,29690.8
327,418,976,427,148,647,792,823,719,22,15,44197,14494.1,29702.9
328,184,807,330,135,535,770,732,583,1,7,34419,11286.4,23132.6
329,394,771,318,125,500,592,544,676,7,5,35512,11595.2,23916.8
330,382,958,560,71,807,975,860,725,98,5,46874,15369.3,31504.7
331,460,831,692,39,735,836,787,732,21,5,40225,13158.8,27066.2
332,186,921,654,71,590,777,698,539,17,15,34831,11579.8,23251.2
333,396,723,607,85,497,571,685,545,21,13,35227,11629,23598
334,119,714,347,89,611,884,789,608,92,14,37814,12375.2,25438.8
335,499,750,252,139,484,481,493,672,47,24,38919,12720.5,26198.5
336,327,869,428,113,435,491,629,594,94,13,39367,13011.1,26355.9
337,291,510,291,46,477,515,586,435,96,24,31136,10188.4,20947.6
338,485,880,594,113,727,771,685,716,82,26,46728,15358.4,31369.6
339,269,802,665,121,512,684,793,629,14,21,38014,12565.5,25448.5
340,480,524,661,119,713,778,688,724,18,23,40716,13249.7,27466.3
341,376,898,634,126,529,580,716,603,82,21,43002,14252.5,28749.5
342,191,830,675,100,623,835,794,639,31,25,38771,12805.6,25965.4
343,311,730,485,125,500,533,640,577,85,9,38587,12697.2,25889.8
344,481,737,373,118,794,980,1075,808,84,8,49162,15918.6,33243.4
345,241,403,520,68,560,782,750,537,20,26,31437,10253,21184
346,318,507,270,128,514,493,637,521,60,6,33615,10898,22717
347,362,404,440,38,792,970,1027,701,67,7,38999,12503.6,26495.4
348,168,508,451,139,566,729,659,581,89,6,36995,12085.5,24909.5
349,429,446,471,143,646,699,780,744,95,14,43660,14135.3,29524.7
350,410,950,318,97,638,660,525,601,80,15,40474,13310.5,27163.5
351,451,926,248,105,623,632,689,604,44,16,39621,12957,26664
352,315,582,557,125,526,508,650,571,11,9,33434,10920.8,22513.2
353,228,916,322,80,575,777,638,535,1,26,33112,10926.3,22185.7
354,451,649,406,25,761,884,724,715,54,9,38470,12446.3,26023.7
355,280,627,258,98,602,780,751,637,71,12,37524,12184.1,25339.9
356,304,550,314,37,560,743,593,515,67,11,31989,10442.4,21546.6
357,378,540,353,143,630,765,880,725,56,26,41967,13586.2,28380.8
358,259,510,564,22,756,962,902,603,63,13,36250,11766.2,24483.8
359,119,650,442,89,472,691,679,516,69,15,33124,10922.4,22201.6
360,447,799,255,115,791,927,917,839,12,8,43229,13913,29316
361,204,481,545,133,371,464,610,495,73,13,33200,10949.4,22250.6
362,166,707,579,59,550,789,907,476,18,21,32724,10806.5,21917.5
363,238,710,482,111,650,830,870,646,44,28,39459,12899.4,26559.6
364,433,911,347,65,593,542,606,600,48,9,36697,12016.5,24680.5
365,457,611,402,58,690,752,602,632,32,20,36065,11714.4,24350.6
366,256,799,447,71,592,783,848,562,58,11,37310,12257.3,25052.7
367,298,529,432,70,663,932,829,685,86,9,39598,12862.9,26735.1
368,250,655,617,43,687,976,980,627,52,10,38359,12547,25812
369,310,947,263,77,611,805,813,602,73,29,40447,13292.2,27154.8
370,259,605,462,144,567,772,801,677,72,30,41242,13490.4,27751.6
371,113,714,670,24,403,456,444,328,31,11,24299,8193.6,16105.4
372,416,431,368,112,546,508,512,541,46,19,33463,10864.9,22598.1
373,225,705,435,53,660,912,796,560,53,23,36056,11820.6,24235.4
374,315,843,334,83,801,968,796,735,69,25,42906,13958,28948
375,119,874,579,105,693,933,808,572,48,26,39113,12923.2,26189.8
376,111,557,461,42,311,432,544,340,12,19,22184,7394.1,14789.9
377,140,631,448,88,684,899,988,542,17,17,34520,11229.4,23290.6
378,107,585,374,53,505,643,532,430,53,17,27615,9083.8,18531.2
379,126,415,528,58,562,736,682,499,95,28,32702,10716.3,21985.7
380,140,724,512,108,530,623,685,483,6,15,30986,10210.7,20775.3
381,293,476,397,36,571,593,659,489,45,6,29300,9494.3,19805.7
382,425,944,253,46,591,624,644,597,91,26,39269,12895.3,26373.7
383,449,671,264,68,628,661,610,670,84,28,39038,12687.4,26350.6
384,258,886,696,41,445,557,538,515,64,21,34216,11464.3,22751.7
385,237,989,582,66,421,484,444,495,57,24,33614,11286.3,22327.7
386,278,833,280,120,431,469,465,563,86,6,35792,11795.4,23996.6
387,184,822,557,40,699,963,911,527,88,26,39353,12993,26360
388,330,747,304,90,504,459,411,454,26,14,30141,9911.8,20229.2
389,125,572,370,39,307,459,462,285,34,28,22596,7574.4,15021.6
390,377,800,460,114,449,516,479,603,57,23,37321,12344.4,24976.6
391,198,654,568,52,445,631,728,465,22,28,30240,10027.6,20212.4
392,335,475,630,133,723,823,821,666,42,30,40782,13266.6,27515.4
393,385,671,399,90,824,968,911,730,84,8,44306,14339.8,29966.2
394,382,685,397,84,653,845,681,694,81,28,41385,13525.3,27859.7
395,464,473,235,92,798,861,967,695,42,21,40277,12877.1,27399.9
396,363,585,530,135,706,813,752,751,53,16,42219,13712.3,28506.7
397,341,769,449,137,714,902,884,761,92,14,46789,15261.6,31527.4
398,126,662,228,144,676,882,981,601,70,30,39834,12930.2,26903.8
399,200,876,683,144,700,912,879,647,19,24,41929,13826.3,28102.7
400,257,707,574,57,658,880,983,627,22,22,37162,12149.6,25012.4
